10-29-2025 14:40:45 RAM 3322/62841MB (lfb 4x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,13%@729,5%@729,5%@729,15%@729,0%@729,6%@729,1%@729,1%@729,3%@729,4%@729,2%@729] GR3D_FREQ 0% cpu@42.343C soc2@38.531C soc0@38.906C tj@42.343C soc1@39.656C VDD_GPU_SOC 3175mW/3175mW VDD_CPU_CV 396mW/566mW VIN_SYS_5V0 4414mW/4271mW
10-29-2025 14:40:46 RAM 3307/62841MB (lfb 4x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,7%@729,9%@729,11%@729,20%@729,8%@729,8%@729,0%@729,0%@729,8%@729,18%@729,8%@729] GR3D_FREQ 0% cpu@42.031C soc2@38.468C soc0@38.812C tj@42.031C soc1@39.656C VDD_GPU_SOC 3175mW/3175mW VDD_CPU_CV 396mW/555mW VIN_SYS_5V0 4414mW/4281mW
10-29-2025 14:40:47 RAM 3308/62841MB (lfb 4x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,7%@729,5%@729,6%@729,19%@729,17%@729,6%@729,0%@729,0%@729,5%@729,20%@729,5%@729] GR3D_FREQ 0% cpu@42.062C soc2@38.468C soc0@38.781C tj@42.062C soc1@39.562C VDD_GPU_SOC 3176mW/3175mW VDD_CPU_CV 396mW/545mW VIN_SYS_5V0 4414mW/4289mW
10-29-2025 14:40:48 RAM 3600/62841MB (lfb 4x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,5%@729,2%@729,8%@729,22%@729,21%@729,2%@729,3%@729,1%@1497,42%@1497,15%@1497,0%@1497] GR3D_FREQ 3% cpu@42.406C soc2@38.562C soc0@38.906C tj@42.406C soc1@39.593C VDD_GPU_SOC 3971mW/3222mW VDD_CPU_CV 1190mW/583mW VIN_SYS_5V0 4815mW/4320mW
10-29-2025 14:40:49 RAM 3721/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [22%@1497,11%@1497,12%@1497,9%@1497,29%@729,11%@729,11%@729,6%@729,3%@729,36%@729,17%@729,2%@729] GR3D_FREQ 0% cpu@42.343C soc2@38.562C soc0@38.843C tj@42.625C soc1@39.656C VDD_GPU_SOC 3971mW/3264mW VDD_CPU_CV 1190mW/617mW VIN_SYS_5V0 4815mW/4347mW
10-29-2025 14:40:50 RAM 3721/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [15%@729,6%@729,4%@729,3%@729,35%@729,28%@729,5%@729,6%@729,0%@729,0%@729,18%@729,7%@729] GR3D_FREQ 1% cpu@42.375C soc2@38.531C soc0@38.843C tj@42.375C soc1@39.687C VDD_GPU_SOC 3971mW/3301mW VDD_CPU_CV 793mW/626mW VIN_SYS_5V0 4715mW/4367mW
10-29-2025 14:40:51 RAM 3721/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [15%@729,4%@729,2%@729,3%@729,9%@729,21%@729,1%@729,18%@729,8%@729,0%@729,16%@729,31%@729] GR3D_FREQ 0% cpu@42.218C soc2@38.468C soc0@38.843C tj@42.218C soc1@39.656C VDD_GPU_SOC 3971mW/3334mW VDD_CPU_CV 793mW/634mW VIN_SYS_5V0 4715mW/4384mW
10-29-2025 14:40:52 RAM 3722/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [38%@729,12%@729,4%@729,7%@729,1%@729,27%@729,0%@729,16%@729,3%@729,0%@729,14%@729,0%@729] GR3D_FREQ 0% cpu@42.156C soc2@38.593C soc0@38.968C tj@42.156C soc1@39.562C VDD_GPU_SOC 3971mW/3365mW VDD_CPU_CV 793mW/642mW VIN_SYS_5V0 4815mW/4405mW
10-29-2025 14:40:53 RAM 3724/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [37%@729,27%@729,11%@729,6%@729,5%@729,23%@729,12%@729,4%@729,2%@729,2%@729,14%@729,0%@729] GR3D_FREQ 5% cpu@42.375C soc2@38.593C soc0@38.812C tj@42.375C soc1@39.562C VDD_GPU_SOC 3969mW/3392mW VDD_CPU_CV 793mW/649mW VIN_SYS_5V0 4815mW/4423mW
10-29-2025 14:40:54 RAM 3724/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@729,19%@729,8%@729,30%@729,20%@729,10%@729,18%@729,3%@729,1%@729,1%@729,5%@729,12%@729] GR3D_FREQ 0% cpu@42.468C soc2@38.437C soc0@38.843C tj@42.468C soc1@39.718C VDD_GPU_SOC 3969mW/3417mW VDD_CPU_CV 793mW/655mW VIN_SYS_5V0 4815mW/4440mW
