Timestamp,RAM_Used_MB,SWAP_Used_MB,GPU_Load_%,Power_GPU_SOC_mW,Power_CPU_CV_mW,Power_VIN_mW,Temp_CPU,Temp_TJ,Temp_SOC0,Temp_SOC1,Temp_SOC2,CPU1_%,CPU1_MHz,CPU2_%,CPU2_MHz,CPU3_%,CPU3_MHz,CPU4_%,CPU4_MHz,CPU5_%,CPU5_MHz,CPU6_%,CPU6_MHz,CPU7_%,CPU7_MHz,CPU8_%,CPU8_MHz,CPU9_%,CPU9_MHz,CPU10_%,CPU10_MHz,CPU11_%,CPU11_MHz,CPU12_%,CPU12_MHz
10-29-2025 14:28:21,3329,0,0,3175,396,4414,42.656,42.656,39.062,39.812,38.718,9,1497,3,1497,1,1497,0,1497,1,960,19,960,0,960,1,960,0,729,18,729,21,729,0,729
10-29-2025 14:28:22,3331,0,0,3175,793,4514,42.437,42.437,39.0,39.843,38.687,13,729,1,729,2,729,0,729,14,729,5,729,20,729,3,729,10,729,13,729,17,729,3,729
10-29-2025 14:28:23,3331,0,0,3175,396,4414,42.531,42.531,39.093,39.812,38.687,8,729,1,729,0,729,1,729,1,883,18,883,9,883,2,883,14,729,5,729,8,729,11,729
10-29-2025 14:28:24,3331,0,0,3175,396,4414,42.375,42.531,39.125,39.812,38.781,9,729,0,729,0,729,0,729,0,729,18,729,3,729,0,729,15,729,0,729,20,729,1,729
10-29-2025 14:28:25,3333,0,0,3175,396,4414,42.5,42.5,39.031,39.812,38.625,10,729,1,729,0,729,0,729,7,729,18,729,7,729,1,729,13,729,0,729,8,729,16,729
10-29-2025 14:28:26,3333,0,0,3175,396,4514,42.812,42.812,39.0,39.968,38.687,8,729,1,729,0,729,0,729,11,806,21,806,2,806,4,806,15,729,0,729,3,729,20,729
10-29-2025 14:28:27,3334,0,0,3176,396,4414,42.375,42.375,39.031,39.781,38.718,8,729,1,729,0,729,1,729,3,729,18,729,5,729,0,729,14,729,0,729,14,729,15,729
10-29-2025 14:28:28,3334,0,0,3176,396,4414,42.406,42.406,39.093,39.812,38.781,13,729,0,729,0,729,4,729,0,729,17,729,6,729,0,729,13,729,0,729,21,729,0,729
10-29-2025 14:28:29,3334,0,0,3175,396,4414,42.5,42.5,39.031,39.906,38.656,7,729,0,729,1,729,2,729,0,729,18,729,0,729,0,729,13,729,0,729,21,729,0,729
10-29-2025 14:28:30,3333,0,0,3175,396,4414,42.687,42.687,39.156,40.062,38.718,10,729,4,729,1,729,2,729,0,729,18,729,5,729,6,729,13,729,0,729,21,729,0,729
