sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761714559779891481,4231.262164,4231.285142,4231.262951,-0.022979,-0.000788,0.022191,0.022979
1761714559843977558,4231.32877,4231.349132,4231.326959,-0.020362,0.001812,0.022173,0.022173
1761714559907787085,4231.39551,4231.41313,4231.39095,-0.01762,0.00456,0.02218,0.02218
1761714559972734459,4231.462167,4231.477107,4231.454942,-0.01494,0.007225,0.022165,0.022165
1761714560032014712,4231.528787,4231.537127,4231.514829,-0.00834,0.013958,0.022298,0.022298
1761714560096280104,4231.595513,4231.601315,4231.578723,-0.005802,0.016791,0.022593,0.022593
1761714560158012227,4231.662141,4231.665109,4231.642949,-0.002968,0.019192,0.02216,0.02216
1761714560224539457,4231.728747,4231.729078,4231.70694,-0.000331,0.021807,0.022138,0.022138
1761714560291296713,4231.795482,4231.79327,4231.77093,0.002212,0.024552,0.02234,0.024552
1761714560357744398,4231.862118,4231.853096,4231.830924,0.009022,0.031194,0.022172,0.031194
1761714560857218877,4232.328802,4232.361234,4232.33885,-0.032432,-0.010048,0.022384,0.032432
1761714560919920542,4232.395454,4232.425223,4232.402672,-0.029769,-0.007218,0.022551,0.029769
1761714560972403156,4232.462147,4232.489434,4232.466643,-0.027287,-0.004495,0.022791,0.027287
1761714561036451833,4232.52879,4232.552999,4232.530653,-0.024209,-0.001863,0.022346,0.024209
1761714561109121248,4232.595399,4232.613221,4232.590647,-0.017821,0.004752,0.022574,0.022574
1761714561172975385,4232.662018,4232.677005,4232.654633,-0.014987,0.007385,0.022373,0.022373
1761714561236511343,4232.728777,4232.741236,4232.71884,-0.012459,0.009938,0.022396,0.022396
1761714561300230196,4232.795385,4232.805173,4232.782826,-0.009788,0.012559,0.022347,0.022347
1761714561364148583,4232.862015,4232.869154,4232.84663,-0.007139,0.015385,0.022524,0.022524
1761714561427987650,4232.928758,4232.92914,4232.907309,-0.000382,0.02145,0.021832,0.021832
1761714561493793989,4232.99537,4232.993152,4232.971335,0.002219,0.024035,0.021817,0.024035
1761714561560338469,4233.062116,4233.05714,4233.034833,0.004976,0.027283,0.022308,0.027283
1761714561627106351,4233.128735,4233.121142,4233.098809,0.007593,0.029926,0.022333,0.029926
1761714561692207060,4233.195352,4233.18514,4233.162817,0.010212,0.032534,0.022323,0.032534
1761714562120374842,4233.59535,4233.624926,4233.60254,-0.029576,-0.00719,0.022386,0.029576
1761714562185051529,4233.662226,4233.689112,4233.666535,-0.026886,-0.004309,0.022577,0.026886
1761714562248542215,4233.728802,4233.753101,4233.730718,-0.024299,-0.001916,0.022383,0.024299
1761714562312127836,4233.795525,4233.817088,4233.794721,-0.021563,0.000804,0.022367,0.022367
1761714562376258782,4233.862252,4233.881082,4233.858701,-0.018829,0.003551,0.02238,0.02238
1761714562440291689,4233.928879,4233.945074,4233.922701,-0.016194,0.006179,0.022373,0.022373
1761714562500742689,4233.995636,4234.005088,4233.982749,-0.009452,0.012887,0.022339,0.022339
1761714562564244157,4234.062267,4234.06908,4234.046683,-0.006814,0.015584,0.022397,0.022397
1761714562628231469,4234.128886,4234.133063,4234.110693,-0.004177,0.018193,0.02237,0.02237
1761714562692801446,4234.195618,4234.19705,4234.174674,-0.001431,0.020944,0.022376,0.022376
1761714562758482745,4234.262004,4234.261064,4234.238665,0.00094,0.023339,0.022399,0.023339
1761714562824876169,4234.328625,4234.325054,4234.298763,0.003572,0.029863,0.026291,0.029863
1761714562891952954,4234.395374,4234.385051,4234.362685,0.010323,0.032689,0.022366,0.032689
1761714563386465748,4234.862195,4234.893264,4234.870823,-0.031069,-0.008629,0.02244,0.031069
1761714563449895738,4234.928923,4234.956772,4234.934602,-0.027849,-0.005679,0.02217,0.027849
1761714563513795093,4234.995316,4235.020966,4234.998586,-0.02565,-0.003269,0.02238,0.02565
1761714563573881489,4235.062146,4235.080959,4235.058627,-0.018813,0.003519,0.022333,0.022333
1761714563637565119,4235.128695,4235.144761,4235.122592,-0.016065,0.006104,0.022169,0.022169
1761714563702135516,4235.195306,4235.209002,4235.186594,-0.013695,0.008712,0.022408,0.022408
1761714563766253666,4235.261925,4235.272986,4235.250585,-0.011061,0.01134,0.022401,0.022401
1761714563830061925,4235.32867,4235.33699,4235.3144,-0.00832,0.01427,0.02259,0.02259
1761714563891416555,4235.395286,4235.39696,4235.37456,-0.001674,0.020726,0.0224,0.0224
1761714563947632335,4235.461874,4235.460892,4235.438731,0.000982,0.023143,0.022161,0.023143
1761714564019698101,4235.528642,4235.524736,4235.502625,0.003907,0.026017,0.022111,0.026017
1761714564091261100,4235.595261,4235.588738,4235.566376,0.006523,0.028884,0.022362,0.028884
1761714564158098553,4235.662003,4235.652721,4235.630372,0.009282,0.031631,0.022349,0.031631
1761714564650011488,4236.128776,4236.156652,4236.134307,-0.027876,-0.005531,0.022345,0.027876
1761714564713577052,4236.195226,4236.220665,4236.1983,-0.025439,-0.003074,0.022365,0.025439
1761714564777877493,4236.261967,4236.284658,4236.262294,-0.022691,-0.000327,0.022364,0.022691
