sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761717220494011983,6891.998485,6891.825392,6891.867416,0.173093,0.131069,-0.042024,0.173093
1761717220561157448,6892.065256,6891.889366,6891.927356,0.17589,0.1379,-0.03799,0.17589
1761717220628078776,6892.13209,6891.949351,6891.991567,0.182738,0.140523,-0.042216,0.182738
1761717220694251961,6892.198459,6892.013434,6892.055542,0.185025,0.142918,-0.042107,0.185025
1761717220760774087,6892.265187,6892.077601,6892.119518,0.187587,0.14567,-0.041917,0.187587
1761717220827954713,6892.331778,6892.205289,6892.183515,0.126489,0.148264,0.021775,0.148264
1761717220894201289,6892.39837,6892.269278,6892.247522,0.129092,0.150849,0.021757,0.150849
1761717220960974875,6892.465121,6892.329261,6892.307486,0.13586,0.157634,0.021775,0.157634
1761717221027475585,6892.531731,6892.393247,6892.371736,0.138484,0.159994,0.02151,0.159994
1761717221090284823,6892.598347,6892.457248,6892.435278,0.141099,0.163069,0.02197,0.163069
1761717221161403991,6892.665069,6892.521229,6892.499428,0.14384,0.165641,0.021801,0.165641
1761717221228124396,6892.731682,6892.585206,6892.563409,0.146476,0.168274,0.021797,0.168274
1761717221294553254,6892.798409,6892.645187,6892.623211,0.153222,0.175198,0.021976,0.175198
1761717221361267836,6892.865045,6892.709164,6892.687218,0.155881,0.177827,0.021946,0.177827
1761717221427453520,6892.93161,6892.773162,6892.751383,0.158448,0.180227,0.021779,0.180227
1761717221494415627,6892.998378,6892.837394,6892.815347,0.160984,0.183031,0.022047,0.183031
1761717221561183029,6893.064977,6892.901132,6892.943117,0.163845,0.12186,-0.041985,0.163845
1761717221627557852,6893.131567,6892.965132,6893.00331,0.166435,0.128257,-0.038178,0.166435
1761717221694176905,6893.198307,6893.025101,6893.067285,0.173206,0.131022,-0.042184,0.173206
1761717221760895550,6893.264916,6893.089081,6893.131283,0.175835,0.133633,-0.042202,0.175835
1761717221827384202,6893.331525,6893.153066,6893.195277,0.178459,0.136248,-0.042211,0.178459
1761717221894500129,6893.398271,6893.217048,6893.259258,0.181223,0.139013,-0.04221,0.181223
1761717221961148071,6893.464874,6893.281028,6893.319236,0.183847,0.145639,-0.038208,0.183847
1761717222027342027,6893.531462,6893.405012,6893.383241,0.126449,0.14822,0.021771,0.14822
1761717222094140867,6893.598199,6893.468986,6893.447209,0.129213,0.15099,0.021777,0.15099
1761717222160906083,6893.664811,6893.532986,6893.511194,0.131825,0.153617,0.021792,0.153617
1761717222227433147,6893.731554,6893.596953,6893.575188,0.134602,0.156366,0.021765,0.156366
1761717222294181599,6893.798172,6893.660924,6893.639165,0.137247,0.159007,0.021759,0.159007
1761717222361064642,6893.864769,6893.720925,6893.699152,0.143844,0.165617,0.021773,0.165617
1761717222427716221,6893.931526,6893.784916,6893.763124,0.14661,0.168402,0.021792,0.168402
1761717222494069438,6893.99812,6893.848918,6893.827114,0.149202,0.171006,0.021804,0.171006
1761717222560574556,6894.064744,6893.912895,6893.89111,0.151849,0.173634,0.021785,0.173634
1761717222626903331,6894.131479,6893.976896,6893.955086,0.154582,0.176392,0.02181,0.176392
1761717222693826109,6894.198098,6894.040882,6894.014907,0.157216,0.183191,0.025976,0.183191
1761717222760364531,6894.264702,6894.100843,6894.078934,0.163858,0.185767,0.021909,0.185767
1761717222827215518,6894.331451,6894.164827,6894.14303,0.166625,0.188421,0.021797,0.188421
1761717222894549239,6894.398331,6894.228813,6894.270995,0.169517,0.127336,-0.042182,0.169517
1761717222960528273,6894.46476,6894.292799,6894.334781,0.171961,0.129979,-0.041982,0.171961
1761717223027484375,6894.531348,6894.356774,6894.394989,0.174574,0.136359,-0.038215,0.174574
1761717223093977932,6894.59778,6894.416993,6894.458969,0.180788,0.138811,-0.041976,0.180788
1761717223160513335,6894.66453,6894.480751,6894.522967,0.183779,0.141563,-0.042216,0.183779
1761717223227149995,6894.731145,6894.544771,6894.586766,0.186374,0.144379,-0.041995,0.186374
1761717223293741737,6894.79771,6894.672709,6894.650718,0.125001,0.146992,0.021991,0.146992
1761717223360541974,6894.864447,6894.73671,6894.714728,0.127737,0.149719,0.021982,0.149719
1761717223419608612,6894.931443,6894.796673,6894.774704,0.134771,0.156739,0.021968,0.156739
1761717223491531160,6894.997676,6894.860676,6894.838711,0.137,0.158964,0.021965,0.158964
1761717223560497606,6895.064405,6894.924651,6894.902922,0.139753,0.161483,0.02173,0.161483
1761717223627061546,6895.131023,6894.98864,6894.966673,0.142384,0.16435,0.021967,0.16435
