Timestamp,RAM_Used_MB,SWAP_Used_MB,GPU_Load_%,Power_GPU_SOC_mW,Power_CPU_CV_mW,Power_VIN_mW,Temp_CPU,Temp_TJ,Temp_SOC0,Temp_SOC1,Temp_SOC2,CPU1_%,CPU1_MHz,CPU2_%,CPU2_MHz,CPU3_%,CPU3_MHz,CPU4_%,CPU4_MHz,CPU5_%,CPU5_MHz,CPU6_%,CPU6_MHz,CPU7_%,CPU7_MHz,CPU8_%,CPU8_MHz,CPU9_%,CPU9_MHz,CPU10_%,CPU10_MHz,CPU11_%,CPU11_MHz,CPU12_%,CPU12_MHz
10-29-2025 14:09:09,3695,0,0,3969,793,4614,41.968,41.968,38.437,39.343,38.125,11,729,3,729,5,729,0,729,31,729,2,729,0,729,31,729,3,729,24,729,0,729,4,729
10-29-2025 14:09:10,3695,0,0,3969,793,4715,41.75,41.75,38.406,39.187,38.156,26,729,9,729,3,729,4,729,15,729,0,729,16,729,25,729,14,729,20,729,10,729,7,729
10-29-2025 14:09:11,3695,0,0,3969,793,4715,41.875,41.875,38.531,39.312,38.187,36,729,1,729,0,729,0,729,21,729,1,729,2,729,21,729,6,729,20,729,5,729,0,729
10-29-2025 14:09:12,3694,0,0,3969,793,4715,41.906,41.906,38.468,39.312,38.156,27,729,0,729,0,729,2,729,21,729,2,729,3,729,19,729,0,729,22,729,4,729,0,729
10-29-2025 14:09:13,3694,0,0,3969,793,4715,42.156,42.156,38.5,39.437,38.125,28,729,1,729,0,729,2,729,22,729,2,729,0,729,18,729,1,729,24,729,2,729,0,729
10-29-2025 14:09:14,3694,0,0,3969,793,4715,41.875,41.875,38.562,39.343,38.125,29,729,15,729,3,729,14,729,19,729,15,729,16,729,15,729,16,729,16,729,4,729,19,729
10-29-2025 14:09:15,3698,0,0,3969,793,4614,41.812,41.812,38.406,39.312,38.218,10,729,15,729,11,729,4,729,24,729,0,729,1,729,22,729,2,729,1,729,1,729,22,729
10-29-2025 14:09:16,3698,0,0,3969,793,4715,42.031,42.031,38.562,39.406,38.156,9,729,1,729,28,729,7,729,21,729,3,729,2,729,20,729,2,729,0,729,0,729,18,729
10-29-2025 14:09:17,3697,0,0,3969,793,4715,41.812,41.812,38.531,39.25,38.218,7,729,0,729,6,729,17,729,24,729,2,729,1,729,20,729,1,729,3,729,1,729,18,729
10-29-2025 14:09:18,3695,0,0,3969,793,4715,42.0,42.0,38.531,39.312,38.281,7,1497,2,1497,5,1497,19,1497,11,729,6,729,12,729,17,729,2,729,2,729,1,729,17,729
10-29-2025 14:09:19,3698,0,47,3969,793,4614,42.031,42.031,38.468,39.406,38.125,19,729,1,729,6,729,15,729,18,729,7,729,12,729,17,729,3,729,0,729,4,729,17,729
10-29-2025 14:09:20,3698,0,0,3969,793,4614,42.125,42.125,38.468,39.375,38.156,26,883,1,883,7,883,9,883,3,729,8,729,21,729,17,729,3,729,2,729,3,729,19,729
10-29-2025 14:09:21,3698,0,0,3969,793,4715,41.906,41.906,38.531,39.281,38.187,37,729,7,729,12,729,3,729,2,729,9,729,21,729,7,729,16,729,1,729,4,729,3,729
