sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712834206233980,2505.710098,2505.698914,2505.677148,0.011185,0.03295,0.021765,0.03295
1761712834273128640,2505.776822,2505.758914,2505.737144,0.017908,0.039678,0.021769,0.039678
1761712834339324896,2505.84344,2505.822907,2505.801196,0.020533,0.042244,0.021711,0.042244
1761712834405658285,2505.910057,2505.887054,2505.865175,0.023003,0.044882,0.021879,0.044882
1761712834473142308,2505.976798,2505.95089,2505.929097,0.025909,0.047702,0.021793,0.047702
1761712834539321510,2506.043443,2506.015102,2505.992881,0.028341,0.050563,0.022221,0.050563
1761712834605406867,2506.110254,2506.075096,2506.052886,0.035159,0.057369,0.02221,0.057369
1761712834661602033,2506.176996,2506.139024,2506.116872,0.037971,0.060124,0.022153,0.060124
1761712834739738932,2506.243616,2506.202852,2506.181041,0.040764,0.062575,0.021811,0.062575
1761712834806347998,2506.310345,2506.266848,2506.244844,0.043497,0.065501,0.022004,0.065501
1761712834872653679,2506.376957,2506.330841,2506.373052,0.046115,0.003904,-0.042211,0.046115
1761712834939367050,2506.443385,2506.394832,2506.432825,0.048553,0.01056,-0.037993,0.048553
1761712835005999057,2506.510139,2506.454826,2506.497033,0.055313,0.013106,-0.042207,0.055313
1761712835072412498,2506.576733,2506.519039,2506.560816,0.057693,0.015917,-0.041777,0.057693
1761712835139557780,2506.64336,2506.583005,2506.624977,0.060355,0.018382,-0.041972,0.060355
1761712835206286860,2506.710365,2506.646809,2506.68899,0.063557,0.021376,-0.042181,0.063557
1761712835271455855,2506.776693,2506.710777,2506.749021,0.065915,0.027671,-0.038244,0.065915
1761712835339057205,2506.843325,2506.835073,2506.812825,0.008252,0.0305,0.022248,0.0305
1761712835405699320,2506.910059,2506.898759,2506.876768,0.0113,0.033292,0.021991,0.033292
1761712835472654066,2506.976678,2506.962754,2506.940997,0.013924,0.035682,0.021757,0.035682
1761712835539434916,2507.043297,2507.026914,2507.005177,0.016383,0.03812,0.021737,0.03812
1761712835605690713,2507.110044,2507.090951,2507.069212,0.019093,0.040832,0.021739,0.040832
1761712835666106761,2507.176678,2507.150729,2507.128738,0.025949,0.04794,0.021991,0.04794
1761712835739227166,2507.243405,2507.214697,2507.192715,0.028708,0.05069,0.021982,0.05069
1761712835805680858,2507.310024,2507.278945,2507.256723,0.031079,0.053301,0.022222,0.053301
1761712835872562462,2507.376647,2507.342974,2507.320945,0.033673,0.055702,0.022029,0.055702
1761712835939449057,2507.443369,2507.406694,2507.384927,0.036675,0.058442,0.021767,0.058442
1761712836005861571,2507.509974,2507.470898,2507.449127,0.039077,0.060847,0.021771,0.060847
1761712836072532417,2507.576584,2507.530894,2507.572913,0.04569,0.003672,-0.042019,0.04569
1761712836139452957,2507.643328,2507.594912,2507.636954,0.048417,0.006374,-0.042043,0.048417
1761712836206106653,2507.70996,2507.658794,2507.700873,0.051166,0.009086,-0.042079,0.051166
1761712836272424264,2507.776562,2507.722875,2507.765054,0.053687,0.011508,-0.042179,0.053687
